,source_vendor_name,type,mid,wiki_url,result_vendor_name
1,America's Suppliers Inc,ORGANIZATION,/m/02_b27m,-,America's Suppliers Inc
2,Alexandria Advantage Warranty Co,OTHER,-,-,Alexandria Advantage Warranty Co
3,Analytica Bio - Energy Corp,OTHER,-,-,Analytica
4,"ACCELRYS, INC.",ORGANIZATION,/m/026pm43,https://en.wikipedia.org/wiki/Accelrys,ACCELRYS
5,ACI Worldwide Inc,ORGANIZATION,/m/03p3mhd,https://en.wikipedia.org/wiki/ACI_Worldwide,ACI Worldwide Inc
6,Accenture PLC,ORGANIZATION,/m/01rp2c,https://en.wikipedia.org/wiki/Accenture,Accenture PLC
7,Ancestry.com Inc.,OTHER,-,-,Ancestry.com Inc.
8,Advanced Credit Technologies Inc,ORGANIZATION,-,-,Credit Technologies Inc
9,Actua Corp,ORGANIZATION,/m/03p2fzx,https://en.wikipedia.org/wiki/Actua_Corporation,Actua Corp
10,ACTIVIDENTITY CORP,ORGANIZATION,/m/0g35jt,-,ACTIVIDENTITY CORP
11,ACTIVE NETWORK INC,OTHER,-,-,ACTIVE NETWORK INC
12,Acxiom Corp,ORGANIZATION,/m/04x55r,https://en.wikipedia.org/wiki/LiveRamp,Acxiom Corp
13,Adobe Systems Inc,ORGANIZATION,/m/0vlf,https://en.wikipedia.org/wiki/Adobe_Inc.,Adobe Systems Inc
14,ADDMASTER CORP,ORGANIZATION,/g/11bycw1h__,-,ADDMASTER CORP
15,AdStar Inc,ORGANIZATION,/m/09rqls,https://en.wikipedia.org/wiki/ADSTAR,AdStar Inc
16,Advant-e Corp,ORGANIZATION,/m/03p1dfh,-,Advant-e Corp
17,Advent Software Inc,ORGANIZATION,/m/02_7s5v,https://en.wikipedia.org/wiki/Advent_Software,Advent Software Inc
18,Loyalty Alliance Enterprise Corp,ORGANIZATION,/g/11gy_vhwz,-,Loyalty Alliance Enterprise Corp
19,AudioEye Inc,ORGANIZATION,/g/11bc5j4369,-,AudioEye Inc
20,"Apple Green Holding, Inc.",ORGANIZATION,-,-,"Apple Green Holding, Inc."
21,Agilysys Inc,ORGANIZATION,/m/010lr3hn,https://en.wikipedia.org/wiki/Agilysys,Agilysys Inc
22,"Aegis Identity Software, Inc.",ORGANIZATION,-,-,"Aegis Identity Software, Inc."
23,AimRite Holdings Corp,ORGANIZATION,/g/11bc7277v5,-,AimRite Holdings Corp
24,Artificial Life Inc,ORGANIZATION,/m/0cp8x6b,-,Artificial Life Inc
25,Allin Corp,ORGANIZATION,/m/03p1fpd,-,Allin Corp
26,Alarm.com Holdings Inc,ORGANIZATION,/m/0h95tv8,https://en.wikipedia.org/wiki/Alarm.com,Alarm.com Holdings Inc
27,"Infinity Augmented Reality, Inc.",ORGANIZATION,-,-,"Infinity Augmented Reality, Inc."
28,Alternet Systems Inc,ORGANIZATION,/m/07tkgxg,-,Alternet Systems Inc
29,AMICO GAMES CORP.,ORGANIZATION,/g/11c1x6vhk2,-,AMICO GAMES CORP
30,AmSurg Corp,ORGANIZATION,-,-,AmSurg Corp
31,ANALYSTS INTERNATIONAL CORP,PERSON,-,-,ANALYSTS
32,"Anpulo Food Development, Inc.",ORGANIZATION,-,-,"Anpulo Food Development, Inc."
33,ANTS SOFTWARE INC,OTHER,-,-,ANTS SOFTWARE INC
34,AOL Inc,ORGANIZATION,/m/0plw,https://en.wikipedia.org/wiki/AOL,AOL Inc
35,SEQUESTER HOLDINGS INC/NV,ORGANIZATION,-,-,SEQUESTER HOLDINGS INC/NV
36,Appiphany Technologies Holdings Corp,ORGANIZATION,/g/11vh_sr4_,-,Appiphany Technologies Holdings Corp
