,original_vendor_name,sanitized_vendor_name
0,America's Suppliers Inc,America'S Suppliers
1,Alexandria Advantage Warranty Co,Alexandria Advantage Warranty
2,Analytica Bio - Energy Corp,Analytica Bio - Energy
3,"ACCELRYS, INC.",Accelrys
4,ACI Worldwide Inc,Aci Worldwide
5,Accenture PLC,Accenture Plc
6,Ancestry.com Inc.,Ancestrycom
7,Advanced Credit Technologies Inc,Advanced Credit
8,Actua Corp,Actua
9,ACTIVIDENTITY CORP,Actividentity
10,ACTIVE NETWORK INC,Active Network
11,Acxiom Corp,Acxiom
12,Adobe Systems Inc,Adobe
13,ADDMASTER CORP,Addmaster
14,AdStar Inc,Adstar
15,Advant-e Corp,Advant-E
16,Advent Software Inc,Advent Software
17,Loyalty Alliance Enterprise Corp,Loyalty Alliance Enterprise
18,AudioEye Inc,Audioeye
19,"Apple Green Holding, Inc.",Apple Green
20,Agilysys Inc,Agilysys
21,"Aegis Identity Software, Inc.",Aegis Identity Software
22,AimRite Holdings Corp,Aimrite
23,Artificial Life Inc,Artificial Life
24,Allin Corp,Allin
25,Alarm.com Holdings Inc,Alarmcom
26,"Infinity Augmented Reality, Inc.",Infinity Augmented Reality
27,Alternet Systems Inc,Alternet
28,AMICO GAMES CORP.,Amico Games
29,AmSurg Corp,Amsurg
30,ANALYSTS INTERNATIONAL CORP,Analysts
31,"Anpulo Food Development, Inc.",Anpulo Food Development
32,ANTS SOFTWARE INC,Ants Software
33,AOL Inc,Aol
34,SEQUESTER HOLDINGS INC/NV,Sequester Incnv
35,Appiphany Technologies Holdings Corp,Appiphany
36,Apigee Corp,Apigee
37,APPDYNAMICS INC,Appdynamics
38,Appian Corp,Appian
39,Alphapoint Technology Inc,Alphapoint
40,Aspyra Inc,Aspyra
41,AppYea Inc,Appyea
42,Acquired Sales Corp,Acquired Sales
43,ARIBA INC,Ariba
44,ARDENT COMMUNICATIONS INC,Ardent Communications
45,ARI Network Services Inc,Ari Network
46,ASA INTERNATIONAL LTD,Asa
47,"Appsoft Technologies, Inc.",Appsoft
48,"AISystems, Inc.",Aisystems
49,Astea International Inc,Astea
50,APPLIEDTHEORY CORP,Appliedtheory
51,Activision Blizzard Inc,Activision Blizzard
52,Atlas Technology Group Inc,Atlas
53,Aurum Inc,Aurum
54,AVG Technologies NV,Avg
55,AVATAR SYSTEMS INC,Avatar
56,Avast Software N.V.,Avast Software
57,HomeAway Inc,Homeaway
58,Areti Web Innovations Inc,Areti Web Innovations
59,Axiologix Inc,Axiologix
60,AXCESS INTERNATIONAL INC/TX,Axcess Inctx
61,AXTIVE CORP,Axtive
62,Alteryx Inc,Alteryx
63,AZTORE HOLDINGS INC,Aztore
64,BLACKBOARD INC,Blackboard
65,Polar Wireless Corp,Polar Wireless
66,Balincan USA Inc,Balincan Usa
