,source_vendor_name,type,mid,wiki_url,result_vendor_name
1,UNITED STATES SECURITIES AND EXCHANGE ,OTHER,-,-,SECURITIES
2,Insclear AB ,OTHER,/g/11bbrgfbp9,-,Insclear AB
3,ADP CANADA COMPANY ,ORGANIZATION,/m/04hshv,https://en.wikipedia.org/wiki/ADP_(company),ADP
4,ABDUL GAFFAR ,PERSON,/m/01qld0,https://en.wikipedia.org/wiki/Bacha_Khan,ABDUL GAFFAR
5,FORT BONIFACIO DEVELOPMENT CORPORATION ,LOCATION,/m/07wg00,https://en.wikipedia.org/wiki/Bonifacio_Global_City,FORT BONIFACIO
6,E-I Interior Design AB ,ORGANIZATION,-,-,E-I
7,ARCHIPELAGO EXCHANGE ,ORGANIZATION,-,-,ARCHIPELAGO EXCHANGE
8,EQUINIX INC  ,OTHER,/m/07btnq,https://en.wikipedia.org/wiki/Equinix,EQUINIX INC
9,SjÃ¤lvregleringen i Sverige Service AB ,ORGANIZATION,-,-,SjÃ
10,Fastpartner Frihamnen AB ,OTHER,-,-,Fastpartner Frihamnen AB
11,SAMEER GAFFAR ,PERSON,-,-,SAMEER GAFFAR
12,EDGX EXCHANGE INC ,OTHER,-,-,EDGX EXCHANGE INC
13,JT MAGEN & COMPANY INC ,ORGANIZATION,/g/11dymc_vx2,-,JT MAGEN & COMPANY INC
14,VERIZON COMMUNICATIONS INDIA PRIVATE LTD ,ORGANIZATION,-,-,VERIZON COMMUNICATIONS INDIA PRIVATE LTD
15,SUHAIL SYED ,PERSON,-,-,SUHAIL SYED
16,BATS EXCHANGE ,ORGANIZATION,/m/05f9pd8,https://en.wikipedia.org/wiki/BATS_Global_Markets,BATS EXCHANGE
17,Fish Pool ASA ,ORGANIZATION,/m/03c97bz,https://en.wikipedia.org/wiki/Fish_Pool,Fish Pool ASA
18,CITADEL EXECUTION SERVICES ,LOCATION,-,-,CITADEL
19,MAXICARE HEALTHCARE CORP  ,ORGANIZATION,/g/11dxpkg8zc,-,MAXICARE HEALTHCARE CORP
20,Amazon Web Services Inc  ,ORGANIZATION,/m/0rznzt1,-,Amazon Web Services Inc
21,SAFEERA GAFFAR ,PERSON,-,-,SAFEERA GAFFAR
22,Reliance Communications Ltd  ,ORGANIZATION,/m/02w5t5,https://en.wikipedia.org/wiki/Reliance_Communications,Reliance Communications Ltd
23,BATS Y-EXCHANGE ,LOCATION,-,-,BATS Y
24,Arion banki ,ORGANIZATION,/m/04zzj_k,https://en.wikipedia.org/wiki/Arion_Bank,Arion banki
25,Hitachi Vantara AB ,ORGANIZATION,-,-,Hitachi
26,MORGAN STANLEY & CO LLC ,ORGANIZATION,-,-,MORGAN STANLEY
27,GreiÃ°sluveitan ehf ,OTHER,-,-,ehf
28,Digiplex Stockholm 1 AB ,ORGANIZATION,-,-,Digiplex Stockholm 1 AB
29,WOLVERINE EXECUTION SERVICES LLC ,ORGANIZATION,/g/11c5b61p3h,-,WOLVERINE EXECUTION SERVICES LLC
30,GLOBAL EXECUTION BROKERS ,ORGANIZATION,-,-,EXECUTION BROKERS
31,GOLDMAN SACHS & CO LLC ,ORGANIZATION,/g/11cs61rqfh,-,GOLDMAN SACHS & CO LLC
32,PLDT ,ORGANIZATION,/m/06l5x2,https://en.wikipedia.org/wiki/PLDT,PLDT
33,Colliers International (India) Property ,ORGANIZATION,/m/064qhfn,https://en.wikipedia.org/wiki/Colliers_International,Colliers International
34,BESCOM ,ORGANIZATION,/g/11c5b791kc,-,BESCOM
35,SÃ­minn ,OTHER,-,-,SÃminn
36,MARLABS SOFTWARE PRIVATE LIMITED ,CONSUMER_GOOD,-,-,MARLABS SOFTWARE
37,Opin Kerfi ehf ,-,-,-,-
38,Telenor Sverige AB ,OTHER,/m/0dhdc_,https://en.wikipedia.org/wiki/Telenor_Sverige,Telenor Sverige AB
